MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,DeviceName
42501_22213_8632321,Partner IL,UNKNOWN;il,2017-10-30 22:54:50,0,-113,32.10606756,34.97038655,163.1324462890625,18.224000930786133,GSM,device=OnePlus5
42501_22213_8632322,Partner IL,UNKNOWN;il,2017-10-30 23:05:43,0,-113,32.10585581,34.97018719,162.01055908203125,10.720000267028809,GSM,device=OnePlus5
42501_22213_8632321,Partner IL,UNKNOWN;il,2017-10-30 23:55:35,0,-113,32.10604059,34.97002002,130.3736572265625,32.15999984741211,GSM,device=OnePlus5
00:1b:9e:1c:db:10,WA,[WPA2-PSK-CCMP][ESS],2017-10-30 23:09:37,6,-94,32.10585979,34.97015585,131.09649658203125,10.720000267028809,WIFI,device=OnePlus5
00:1b:9e:1c:db:10,WA,[WPA2-PSK-CCMP][ESS],10/30/17 23:09,6,-94,32.10585979,34.97015585,131.0964966,10.72000027,WIFI,device=OnePlus5
c8:d3:a3:20:04:19,Bezeq-N_200418,[ESS],2017-10-30 22:56:12,6,-91,32.10595163,34.97027543,158.038818359375,11.791999816894531,WIFI,device=OnePlus5
58:20:b1:d0:1f:a3,HP-Print-A3-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],10/31/17 0:12,6,-91,32.10580015,34.97041462,334.5370483,15.00800037,WIFI,device=OnePlus5
4c:60:de:43:ef:26,BezeqNGN_72131,[WPS][ESS],2017-10-30 23:19:53,6,-90,32.10597441,34.97030185,137.6893310546875,10.720000267028809,WIFI,device=OnePlus5
20:2a:a8:b1:9f:b7,cloudyn-mktg-sales,[WPA2-PSK-CCMP][ESS],2017-10-30 23:25:18,6,-90,32.10593104,34.97020232,122.9378662109375,10.720000267028809,WIFI,device=OnePlus5
4c:60:de:43:ef:26,BezeqNGN_72131,[WPS][ESS],10/30/17 23:19,6,-90,32.10597441,34.97030185,137.6893311,10.72000027,WIFI,device=OnePlus5
